Train Loss	Train Loss X	Train Loss U	Mask	Total Acc.	Used Acc.	Test Loss	Test Acc.	Test GM.	
0.992486	0.949469	0.043018	0.135313	0.649000	0.965589	2.389179	15.670000	0.003791	
0.778694	0.700605	0.078089	0.356281	0.707313	0.957197	2.599610	17.040000	0.004131	
0.656026	0.559311	0.096715	0.458031	0.733187	0.949785	2.599451	19.640000	0.015772	
0.514835	0.411602	0.103232	0.523375	0.782594	0.962981	2.472567	30.030000	0.035617	
0.426286	0.302675	0.123611	0.565063	0.817031	0.970468	2.342531	37.940000	0.056968	
0.373325	0.223431	0.149894	0.604969	0.837344	0.969162	2.254586	42.600000	0.138335	
0.334018	0.154385	0.179633	0.650250	0.853000	0.969723	2.247838	46.870000	0.257830	
0.302671	0.112612	0.190059	0.682063	0.861437	0.967424	2.325670	49.560000	0.325434	
0.288615	0.086224	0.202391	0.702500	0.868844	0.964591	2.379965	51.820000	0.371313	
0.272691	0.068382	0.204309	0.720063	0.874062	0.966800	2.418832	53.810000	0.409773	
0.265460	0.059878	0.205582	0.732563	0.880938	0.968091	2.470457	55.080000	0.432005	
0.252343	0.046144	0.206199	0.750500	0.884188	0.967605	2.522992	55.700000	0.443174	
0.251192	0.042934	0.208258	0.752125	0.884531	0.967218	2.546612	56.320000	0.456189	
0.243950	0.039810	0.204140	0.761781	0.888406	0.968413	2.544313	57.180000	0.471353	
0.236868	0.031676	0.205191	0.770062	0.892938	0.968671	2.557424	57.680000	0.473946	
0.232305	0.034629	0.197676	0.773375	0.893719	0.968725	2.545251	57.800000	0.473491	
0.226460	0.025717	0.200743	0.783781	0.893844	0.967186	2.513208	58.610000	0.488929	
0.224542	0.027624	0.196918	0.781875	0.897531	0.969345	2.501359	58.880000	0.492440	
0.223618	0.026899	0.196719	0.790188	0.900312	0.970616	2.489323	59.460000	0.505045	
0.222906	0.022456	0.200450	0.791094	0.901375	0.970018	2.467841	59.690000	0.507480	
0.217345	0.022346	0.194999	0.794562	0.903000	0.970739	2.413270	60.580000	0.523798	
0.208966	0.018082	0.190885	0.809156	0.905156	0.969915	2.439827	60.610000	0.519983	
0.214991	0.021772	0.193218	0.809750	0.905563	0.969358	2.465199	60.280000	0.510827	
0.209155	0.019331	0.189824	0.808813	0.908344	0.970134	2.474202	60.230000	0.510620	
0.203772	0.017033	0.186739	0.810375	0.908438	0.971618	2.461034	60.450000	0.512627	
0.205920	0.016928	0.188992	0.814469	0.910031	0.971953	2.381749	61.190000	0.529341	
0.201945	0.013751	0.188194	0.827281	0.912906	0.971216	2.378369	61.470000	0.532127	
0.197830	0.015012	0.182818	0.823750	0.910906	0.970030	2.363945	61.990000	0.540234	
0.195550	0.014430	0.181120	0.824656	0.914687	0.972526	2.332253	62.520000	0.548626	
0.203769	0.016564	0.187204	0.823969	0.911813	0.969887	2.324420	62.440000	0.543815	
0.190046	0.011132	0.178915	0.831812	0.916656	0.972537	2.337554	62.730000	0.548591	
0.192842	0.012074	0.180768	0.832031	0.915469	0.970930	2.284472	63.350000	0.560289	
0.190674	0.013114	0.177560	0.831375	0.917625	0.973012	2.273060	63.620000	0.562574	
